,comment,tokenized_comment,label,predicted_label,marks
0,ร้านสวยมาก สวยจนอยากบอกว่า เอาเงินแต่งร้าน ส่ง พนง ไปเรียนชงกาแฟก่อนเถอะค่ะ,"['ร้าน', 'สวย', 'สวย', 'เงิน', 'พนง', 'เรียน', 'ชง', 'กาแฟ']",,11,-1
1,เรางง สั่งคาปูชิโนหวานน้อย ทำไม่ได้ค่ะ ถ้าลูกค้าอยากได้หวานน้อยต้องสั่งลาเต้ กูงงงงงงง,"['งง', 'สั่ง', 'ทำ', 'ลูกค้า', 'หวาน', 'สั่ง', 'ลาเต้']",,11,-1
2,ไม่ควรส่งโปรมาให้เรา​ ถ้าสิทธิ์​มันเต็มแล้วจากใจลูกค้าทรูมูฟ,"['โปร', 'สิทธิ์', 'เต็ม', 'ลูกค้า', 'ทรูมูฟ']",,6,-1
3,ราคาสตาบัค รสชาติออลคาเฟ่,"['ราคา', 'สตาบัค', 'รสชาติ']",,7,-1
4,ซื้อลิขสิทธิ์ UCL มาด้วยนะ จ่ายรายเดือนไป แต่ไม่มีให้ดู,"['ซื้อ', 'จ่าย', 'เดือน', 'ดู']",,11,-1
5,ช่วงนี้เนตช้ามากเลยครับ ช่วยปรับปรุงด้วยครับ รายเดือนแพงแต่ใช้ไม่คุ้ม,"['เนต', 'ปรับปรุง', 'เดือน', 'แพง', 'คุ้ม']",,11,-1
6,ไม่ ชอบ การ แบ่ง ชนชั้น ในร้านกาแฟ ผู้ถือบัตรอีกแบบ นั่งได้แค่ตรงนี้ ผู้ถือบัตรอีกแบบนั่งตรงนี้ จ่ายราคากาแฟก็เท่ากันไหม,"['ชอบ', 'ร้าน', 'กาแฟ', 'บัตร', 'นั่ง', 'บัตร', 'นั่ง', 'จ่าย', 'ราคา', 'กาแฟ', 'ไหม']",,0,-1
7,เน็ตบ้านหลุดบ่อยมากครับลมพัดทีหาย นี่เน็ตรึโพยหวย #ปรับปรุงด้วยคนับ,"['เน็ต', 'บ้าน', 'หลุด', 'หาย', 'เน็ต', 'ปรับปรุง']",,8,-1
8,ก่อนลูกค้าจะสั่ง รบกวนพนักงานอ้าปากบอกเลยค่ะ “สิทธิ์เต็ม” เบื่อมากกก,"['ลูกค้า', 'สั่ง', 'รบกวน', 'พนักงาน', 'สิทธิ์', 'เต็ม', 'กก']",,11,-1
9,มี point มีโปรก็ไม่ได้ดืม สิทธิ์เต็ม ทำไงล่ะ ขอบคุณครับ ไปกินสตาบัคดีกว่า ไมอยากเป็นเหยื่อยการค้า,"['โปร', 'ดืม', 'เต็ม', 'ทำ', 'กิน', 'สตาบัค', 'ดี', 'ไม']",,11,-1
