comment,tokenized_comment,predicted_label,marks
รร.รุ่งอรุณประกาศหยุดเรียนทุกระดับชั้น ชื่นชมผู้บริหารโรงเรียนในการตัดสิ้นใจค่ะ ประกาศเมื่อราว 1 ชม.ที่ผ่านมาค่ะ,"['ประกาศ', 'หยุด', 'เรียน', 'ระดับ', 'ชั้น', 'บริหาร', 'โรง', 'เรียน', 'ประกาศ', 'ชม']",5,1
หมอ ผมว่าสิ่งที่ควรทำแบบง่ายสุดในตอนนี้ คือ รณรงค์ให้ประชาชนใส่หน้ากากป้องกันตัวเองผมว่า ผู้ใหญ่ ผู้มีอำนาจในบ้านเรากลัวเสียหน้าที่จะยอมรับความจริงที่เกิดขึ้น มากกว่าห่วงสุขภาพประชาชนอธิบดีกรมควบคุมมลพิษที่มีหน้าที่โดยตรงออกมาหลายหนบอกว่าไม่วิกฤต ซึ่งมันสวนทางกับตาเราเห็นภาพวิว มองแทบไม่เห็นตึกสูง กลับบอกไม่อันตราย บอกตรงๆโกหกได้หน้าด้านมาก อาจเพราะในระยะสั้น มันมีผลกับคนที่ sensitive เช่น แสบตา คันคอ ไอ ซึ่งเลยทำให้เขาโกหกต่อได้ว่า เห็นไหม คนเป็นล้านมีคนเป็นไม่กี่คนเอง แต่ระยะยาวล่ะ โรคทางเดินหายใจ มะเร็งปอด มันพิสูจน์ตอนนี้ไม่ได้ เขาก็บอกไม่วิกฤตๆๆๆ ซ้ำร้าย คนเป็นหมอบางคนกลับบอกว่า ใส่ N95 ก็ไม่ช่วยอะไร มันทำให้คนสับสนไปหมด คือ คนที่ไม่รู้จริง ก็ควรนั่งนิ่งๆ ไม่ใช่ทำตัวเป็นประเด็นเรียกไลท์กัน มันยิ่งไปทำให้คนสับสนส่วนตัวเคยทำงานก่อสร้าง ก่อนที่จะรู้จักคำว่า pm2.5 ด้วยซ้ำ ก็เกือบ 20 ปีกว่าแล้ว เพราะเคยไปโคงานกับ บ ปูนแห่งนึง เลยเจอว่าพนักงานบัญชีในแพลนท์ปูนต้องตัดปอดทิ้งคนละข้าง เกือบทั้งแผนก เลยกลัวเรื่องฝุ่นเล็กๆมาก เลยจับลูกใส่ หาซื้อหน้ากากตั้งแต่ยังไม่ขาดแคลน วันแรกๆ ลูกใส่ไป รร มีแต่คนขำ ลูกสาวก็มาบอก เราก็บอก ป๊าใส่ไปด้วยละกัน เลยใส่เดินไปด้วยกัน มาตอนนี้มีแต่คนมาถามขอลูกสาว ว่าหาซื้อที่ไหน แบ่งให้ได้ไหม เด็กค่อน รร หาหน้ากาก N95 ไม่ได้กันแล้ว ตรงนี้ รัฐก็น่าเป็นศูนย์กลาง ผ่อนผันภาษีหรือเร่งตัว Distributor ให้นำเข้าโดยเร็ว ก็ไม่ทำอะไร มาขอกำลังใจบ้าบอที่บ้านเน้นปลูกต้นไม้  หมอพูดเรื่องต้นไม้ เลยจะแนะนำว่า เราต้องเอาตัวให้รอดก่อน ด่าไอ้พวกมีหน้าที่รับผิดชอบแต่โกหกประชาชนก็ต้องด่าไป แต่เราต้องช่วยตัวเราด้วยคือ คนที่มีพื้นที่น้อย ลองหา เดหลี จั๋ง หมากเหลือง ลิ้นมังกร กวักมรกต พลูด่าง มาปลูกในบ้าน มันจะช่วยฟอกอากาศ สร้างออกซิเจน แต่ไม่ได้จับฝุ่นเป็นกำลังใจให้ทุกท่าน เราต้องรอดครับ ระหว่างฟาดฟันกับเหล่าไดโนเสาร์หน้าใหญ่หวงตำแหน่งแห่งประเทศนี้ เราก็ต้องดูแลตัวเรากันด้วยครับ,"['หมอ', 'ผม', 'ทำ', 'ตอน', 'รณรงค์', 'ประชาชน', 'ใส่', 'หน้า', 'กาก', 'ป้องกัน', 'ตัว', 'ผม', 'อำนาจ', 'บ้าน', 'กลัว', 'หน้าที่', 'ห่วง', 'สุขภาพ', 'ประชาชน', 'อธิบดี', 'กรมควบคุมมลพิษ', 'หน้าที่', 'วิกฤต', 'สวน', 'ตา', 'ภาพ', 'แทบ', 'ตึก', 'อันตราย', 'หน้า', 'คน', 'แสบ', 'ตา', 'คัน', 'ไอ', 'ทำ', 'ไหม', 'คน', 'ล้าน', 'คน', 'กี่', 'คน', 'ล่ะ', 'โรค', 'เดิน', 'หายใจ', 'ปอด', 'ตอน', 'วิกฤต', 'คน', 'หมอ', 'คน', 'ใส่', 'ทำ', 'คน', 'คน', 'รู้', 'นั่ง', 'นิ่ง', 'ทำ', 'ตัว', 'ประเด็น', 'ทำ', 'คน', 'ตัว', 'ทำ', 'งาน', 'ก่อสร้าง', 'ซ้ำ', 'ปี', 'งาน', 'นึง', 'เจอ', 'พนักงาน', 'ตัด', 'ปอด', 'ทิ้ง', 'คน', 'แผนก', 'กลัว', 'เรื่อง', 'ฝุ่น', 'ลูก', 'ใส่', 'หา', 'ซื้อ', 'หน้ากาก', 'ลูก', 'ใส่', 'รร', 'คน', 'ลูก', 'สาว', 'ใส่', 'ใส่', 'เดิน', 'ตอน', 'คน', 'ถาม', 'ลูก', 'สาว', 'หา', 'ซื้อ', 'แบ่ง', 'ไหม', 'เด็ก', 'รร', 'หา', 'หน้ากาก', 'รัฐ', 'ผ่อน', 'ภาษี', 'เร่ง', 'ตัว', 'ทำ', 'กำลังใจ', 'บ้า', 'บ้าน', 'ปลูก', 'ต้น', 'ไม้', 'หมอ', 'เรื่อง', 'ต้น', 'ไม้', 'แนะนำ', 'ตัว', 'รอด', 'ด่า', 'หน้าที่', 'รับผิดชอบ', 'ประชาชน', 'ด่า', 'ตัว', 'คน', 'พื้นที่', 'เหลือง', 'พลู', 'ปลูก', 'บ้าน', 'ฟอก', 'อากาศ', 'สร้าง', 'ฝุ่น', 'กำลังใจ', 'ท่าน', 'รอด', 'หน้า', 'ดูแล', 'ตัว']",1,1
เห็นด้วยที่สุดว่า ภาครัฐที่มีส่วนเกี่ยวข้องทำงานล่าช้า ไม่มีมาตรการทันที ไม่เห็นปลทั้งในระยะสั้นและระยะยาวค่ะ,"['รัฐ', 'ทำ', 'งาน', 'มาตรการ', 'ปล']",1,1
“ต้นไม้คือเพื่อนชีวิต เจ้าดูดอากาศพิษแทนข้า”Campaign รณรงค์การปลูกต้นไม้เมื่อหลายปีก่อน แล้วก็มีการปลูกต้นไม้ตรงกลางถนน ตรงริมฟุตบาท จากต้นเล็กๆ กลายเป็นต้นใหญ่ กรุงเทพเริ่มเป็นสีเขียวพอเวลาผ่านไป ต้นไม้ต้นเล็กกลายเป็นต้นใหญ่ก็เริ่มมีปัญหา กิ่งไปพันสายไฟ ประเทศอื่นแก้โดยย้ายสายไฟลงดิน ประเทศเราแก้โดยตัดต้นไม้ออกและอีกหลายสาเหตุ เช่นสร้างสะพาน ทำอุโมงค์ สร้างรถไฟฟ้า สาเหตุต่างๆทำให้ปริมาณต้นไม้ในกรุงเทพลดลงทุกทีขณะที่การก่อสร้างเพิ่ม รถยนต์เพิ่ม ควันพิษก็เพิ่ม แต่ต้นไม้ที่คอยช่วยดูดกลับลดลงน่าจะถึงเวลาที่ทางกทม.จะเอา campaign เดิมมาปัดฝุ่นใหม่ แล้วรณรงค์กันใหม่ได้แล้วอาจจะไม่ได้แก้ได้เร็ว แต่เป็นแนวทางระยะยาวส่วนตอนนี้คงต้องรณรงค์การใส่หน้ากาก สนับสนุนให้ประกาศภาวะภัยพิบัติ เพื่อให้เกิดการตื่นตัว โรงเรียนจะได้ปิด อย่ามัวแต่กลัวเสียหน้า กังวลว่าประชาชนจะตื่นกลัว เพราะหากไม่ตื่น อีกสักพักบางคนอาจจะไม่ได้ตื่นอีกเลย,"['ต้น', 'ไม้', 'เพื่อน', 'ชีวิต', 'ดูด', 'อากาศ', 'พิษ', 'แทน', 'รณรงค์', 'ปลูก', 'ต้น', 'ไม้', 'ปี', 'ปลูก', 'ต้น', 'ไม้', 'กลาง', 'ถนน', 'ริม', 'ต้น', 'กลาย', 'ต้น', 'กรุงเทพ', 'สี', 'เขียว', 'เวลา', 'ต้น', 'ไม้', 'ต้น', 'กลาย', 'ปัญหา', 'พัน', 'สาย', 'ไฟ', 'ประเทศ', 'แก้', 'ย้าย', 'สาย', 'ไฟ', 'ประเทศ', 'แก้', 'ตัด', 'ต้น', 'ไม้', 'สาเหตุ', 'สร้าง', 'ทำ', 'อุโมงค์', 'สร้าง', 'รถ', 'ไฟฟ้า', 'สาเหตุ', 'ทำ', 'ปริมาณ', 'ต้น', 'ไม้', 'ก่อสร้าง', 'รถ', 'ยนต์', 'ควัน', 'พิษ', 'ต้น', 'ไม้', 'ดูด', 'ลด', 'เวลา', 'เดิม', 'ฝุ่น', 'รณรงค์', 'แก้', 'ตอน', 'รณรงค์', 'ใส่', 'หน้า', 'กาก', 'สนับสนุน', 'ประกาศ', 'ภาวะ', 'ภัยพิบัติ', 'ตื่นตัว', 'โรง', 'เรียน', 'อย่า', 'มัว', 'กลัว', 'หน้า', 'ประชาชน', 'ตื่น', 'กลัว', 'ตื่น', 'สัก', 'พัก', 'คน', 'ตื่น']",4,1
หงุดหงิดมากอะ รร ลูกอยู่ตรงปทุมวัน เขตนี้ควันนรกมากเลยอะ ต้องพยายามให้ใส่หน้ากาก ไม่รู้จะช่วยได้แค่ไหน ให้ใส่แบบกันเยอะๆ นางก็บ่น แต่นางก็ใส่แหละ,"['รร', 'ลูก', 'เขต', 'ควัน', 'ใส่', 'หน้า', 'กาก', 'รู้', 'ใส่', 'ใส่']",6,1
ถูกต้องเลยครับรถเมล์ควรซื้อใหม่ยกทั้งระบบ อะไรที่ควรซื้อก็ควรทำนะครับ รถถัง เครื่องบิน เรือดำนำ ซื้อมาแสนแพง เอาออกมาใช้โชว์งานวันเด็ก...,"['รถ', 'เมล์', 'ซื้อ', 'ระบบ', 'ซื้อ', 'ทำ', 'รถ', 'เครื่อง', 'เรือ', 'ดำ', 'ซื้อ', 'แสน', 'แพง', 'งาน', 'เด็ก']",1,1
วันนี้เขตโรงเรียนลูก 249 รร.ไม่หยุด แม่หยุดเองเลยค่ะ,"['เขต', 'โรง', 'รร', 'หยุด', 'แม่', 'หยุด']",5,1
การตัดแต่งต้นไม้ของ กทม. สักแต่ว่าตัดตัดจนมันเหี้ยนกุด ไม่เหลือสถาพของต้นไม้ประเทศไทยมีรุกขกรณ์ ที่มีความรู้ด้านการตัดแต่งต้นไม้ให้ได้ดีและสวยงามแค่ปรับปรุง ปรับเปรี่ยนการตัดแต่งต้นไม้ เราก็จะได้ประสิทธิภาพการกรองฝุ่นและมลพิษ กลับมามากมายแล้ว,"['ตัด', 'ต้น', 'ไม้', 'กทม', 'สัก', 'ตัด', 'ตัด', 'ต้น', 'ไม้', 'ประเทศไทย', 'รู้', 'ตัด', 'ต้น', 'ไม้', 'ดี', 'ปรับปรุง', 'ตัด', 'ต้น', 'ไม้', 'ประสิทธิภาพ', 'กรอง', 'ฝุ่น', 'มลพิษ']",4,1
>>ผลที่สะสมต่อไปอนาคตของชาติจะกลายเป็นผู้ป่วยที่ล้นระบบสาธารณสุขจนรับมือไม่ไหว >>การตื่นตัวจากภาครัฐน้อยมาก ทำให้คนไม่ตระหนักถึงอันตราย เด็กๆนั่งรถมอเตอร์ไซค์ไปโรงเรียนอย่างปกติ ผู้ปกครองคนที่ไม่ได้รับข่าวสารทางอินเตอร์เนตดูแต่ข่าวทางทีวีจะไม่รู้ว่าสถานการณ์ร้ายแรงและอันตรายต่อทุกคน >>>ความตื่นตัวมีน้อยมากๆ<<<,"['สะสม', 'อนาคต', 'ชาติ', 'กลาย', 'ป่วย', 'ระบบ', 'สาธารณสุข', 'รับมือ', 'ไหว', 'ตื่นตัว', 'รัฐ', 'ทำ', 'คน', 'ตระหนัก', 'อันตราย', 'เด็ก', 'นั่ง', 'รถ', 'โรง', 'เรียน', 'ปกติ', 'ปกครอง', 'คน', 'ดู', 'ข่าว', 'รู้', 'สถานการณ์', 'อันตราย', 'คน', 'ตื่นตัว']",1,1
รร ประถมชายชื่อดังบาง รร ตอนพักกลางวันก็ยังคงไม่ให้เด็กขึ้นตึกเรียนเลยค่ะ วิ่งเล่นไปมากลางแจ้งนี่ล่ะ ฝ่ายกิจกรรม นร บอกว่าเป็นช่วงครูพัก ถ้าต้องการให้เด็กขึ้นเรียนให้ไปคุยตกลงกับครูประจำชั้นเองค่ะ งงใจผู้บริหาร รร สุดๆค่ะ,"['รร', 'ประถม', 'ชาย', 'ชื่อ', 'รร', 'ตอน', 'พัก', 'กลาง', 'เด็ก', 'ตึก', 'เรียน', 'วิ่ง', 'เล่น', 'กลาง', 'แจ้ง', 'ล่ะ', 'กิจกรรม', 'ครู', 'พัก', 'เด็ก', 'เรียน', 'คุย', 'ครู', 'ประจำ', 'ชั้น', 'บริหาร', 'รร']",5,1
คุณหมอคะ อีกประเด็นนึงที่หนักมากคือเรื่องของการเผาไร่เผานาเพื่อปลูกใหม่. สมัยก่อนเราใช้วิธีไถกลบ แต่ตอนนี้เผากันเยอะมาก มันเร็วกว่าและถูก  อย่างตอนนี้มีแปลงเพื่อการเกษตรที่บริษัทใหญ่ๆคอนโทรอยู่เยอะมาก. จะเริ่มจากตรงนี้ก่อนได้ไหม. หลายๆประเทศจะมีกฏข้อบังคับเรื่องนี้ชัดเจน  ถ้าดู แผนที่จากเว็ปของ NASA FIRMS (Fire Information for Resource Management System) จะเห็นชัดเจนเลยว่ามีการเผาในประเทศ ไทย ลาว และเขมร สูงมาก ทุกปี ช่วงนี้จะเป็นแบบนี้ค่ะ ที่พูดเรื่องนี้กันไม่ได้เพราะใกล้วันเลือกตั้ง  https//firms.modaps.eosdis.nasa.gov/map/...,"['หมอ', 'ประเด็น', 'นึง', 'หนัก', 'เรื่อง', 'เผา', 'ปลูก', 'วิธี', 'ตอน', 'เผา', 'ตอน', 'บริษัท', 'ไหม', 'ประเทศ', 'ข้อ', 'บังคับ', 'เรื่อง', 'ชัดเจน', 'ดู', 'ชัดเจน', 'เผา', 'ประเทศ', 'ไทย', 'ปี', 'เรื่อง', 'เลือกตั้ง']",0,-1
คิดถึง..วาทะ เด็ด ตอนน้ำท่วมกทม.อดีตผู้ว่า.ท่านบอก ให้ย้ายไปอยู่ดอย. ท่านเลยถูกย้ายออกจากตำแหน่ง  คนเรา.ทำงานหนักเพื่อลูกได้..ทนดูลูกหายใจลำบาก..ไอหอบทั้งคืนต้อง อาศัยเครื่องช่วยหายใจ.ทนไม่ได้.หรอก ถ้า.หลายรักของผู้นำ..ตกในสภาพ. การหายใจล้มเหลว.เพราะฝุ่น..ท่านจะทำอะไรบ้างน้า,"['ตอน', 'น้ำ', 'กทม', 'ท่าน', 'ย้าย', 'ท่าน', 'ย้าย', 'คน', 'ทำ', 'งาน', 'หนัก', 'ลูก', 'ทน', 'ดู', 'ลูก', 'หายใจ', 'ลำบาก', 'ไอ', 'หอบ', 'คืน', 'อาศัย', 'เครื่อง', 'หายใจ', 'ทน', 'หรอก', 'รัก', 'สภาพ', 'หายใจ', 'ฝุ่น', 'ท่าน', 'ทำ']",1,1
คุณหมออาจไม่ทราบว่าสาเหตุส่วนหนึ่งมาจากประเทศเพื่อนบ้านของเราบวกกับการเคลื่อนที่ของกระแสอากาศที่ประจวบเหมาะทำให้ปัญหานี้มันสาหัสเกินกว่ามนุษย์แค่ไม่กี่คนจะสั่งโน่นนี่แล้วแก้ไขได้ปลูกต้นไม้ อาจช่วยได้ แต่เชื่อหรือไม่ว่าจังหวัดเชียงใหม่ที่เชื่อว่าต้นไม้มีเยอะกว่ากรุงเทพแน่ๆ ก็ยังเจอปัญหาเรื่องคุณภาพอากาศทุกปี ตั้งแต่มีการปลูกข้าวโพดและเผาซากพืชเมื่อเก็บเกี่ยวเสร็จ และเพื่อนบ้านก็มาร่วมงานนี้อีกเช่นกันคุณจะไปห้ามประเทศเพื่อนบ้านไม่ให้เผาได้เหรอ คุณจะลดละเลิกผลิตภัณฑ์ที่เกี่ยวเนื่องกับข้าวโพดได้เหรอ คุณจะห้ามไม่ใช้ยานพาหนะที่ใช้น้ำมันดีเซลได้เหรอ มันต้องใช้ทรัพยากรมากแค่ไหนเพื่อทำให้อากาศในภูมิภาคนี้ดีขึ้นหาหน้ากากใส่ แล้วอดทดเห็นจะเป็นหนทางที่ดีที่สุดในเวลานี้,"['หมอ', 'ทราบ', 'สาเหตุ', 'ประเทศ', 'บวก', 'กระแส', 'อากาศ', 'ทำ', 'ปัญหา', 'มนุษย์', 'กี่', 'คน', 'สั่ง', 'ปลูก', 'ต้น', 'ไม้', 'ต้น', 'ไม้', 'กรุงเทพ', 'แน่', 'เจอ', 'ปัญหา', 'เรื่อง', 'คุณภาพ', 'อากาศ', 'ปี', 'ปลูก', 'เผา', 'พืช', 'งาน', 'ห้าม', 'ประเทศ', 'เผา', 'เหรอ', 'เหรอ', 'ห้าม', 'น้ำมัน', 'ดีเซล', 'เหรอ', 'ทำ', 'อากาศ', 'ดี', 'หา', 'หน้ากาก', 'ใส่', 'ดี', 'เวลา']",1,1
"ประชาชนมากกว่าครึ่ง ยังไม่ใส่หน้ากาก แถมยังมองคนใส่หน้ากากเป็นคนประหลาด หนำซ้ำยังพูดว่า ""พวกใส่หน้ากากคือพวกอุปทานหมู่"" เจ้าค่าาาาาาา ช่างเถอะ ให้ธรรมชาติคัดสรร (Natural selection)ล่ะกันค่ะ เพลีย😥","['ประชาชน', 'ครึ่ง', 'ใส่', 'หน้า', 'กาก', 'แถม', 'คน', 'ใส่', 'หน้า', 'กาก', 'คน', 'ประหลาด', 'ซ้ำ', 'ใส่', 'หน้า', 'กาก', 'ธรรมชาติ', 'ล่ะ']",6,1
วันนี้ รรไม่หยุดแต่แม่ก็หยุดเองค่ะไม่ไหวฝุ่นทั้งนั้นเคยใจกล้าเดินเข้าไปบอก ครูว่าไม่ให้เด็กเจฝข้าแถวได้มั้ยขอให้ขึ้นห้องเลย ครูตอบกลับมาว่า รรเราฝุ่นไม่เยอะจ๊ะแม่ยังได้อยู่ วันนี้เลยหยุดแม่มมเลยแถมครูบางคนก็พาเด็กๆอนุบาลมาเล่นสนามเด็กเล่นพอเราไปพูดเรื่องฝุ่นครูบางคนก็ปรายตามองหาว่าเราเยอะทั้งที่ผู้ปกครองคนอื่นเค้าไม่เห็นว่าอะไรเลย กลายเป็นตัวประหลาดไปค่ะ,"['รรไม่', 'หยุด', 'แม่', 'หยุด', 'ไหว', 'ฝุ่น', 'เดิน', 'ครู', 'เด็ก', 'แถว', 'ห้อง', 'ครู', 'ตอบ', 'ฝุ่น', 'แม่', 'หยุด', 'แม่', 'แถม', 'ครู', 'คน', 'เด็ก', 'อนุบาล', 'เล่น', 'เด็ก', 'เล่น', 'เรื่อง', 'ฝุ่น', 'ครู', 'คน', 'ตา', 'หา', 'ปกครอง', 'คน', 'เค้า', 'กลาย', 'ตัว', 'ประหลาด']",5,1
ที่น่าสังเวคือยังมีคนจำนวนหนึ่งมองว่าพวกเราบ้าประสาทตื่นตูมกันอยู่เลย ใส่หน้ากากก็โดนมองเหมือนสัตว์ประหลาด,"['คน', 'จำนวน', 'บ้า', 'ตื่น', 'ตูม', 'ใส่', 'หน้า', 'กาก', 'โดน', 'เหมือน', 'ประหลาด']",6,1
