,comment,tokenized_comment,label,predicted_label,marks
0,รร.รุ่งอรุณประกาศหยุดเรียนทุกระดับชั้น ชื่นชมผู้บริหารโรงเรียนในการตัดสิ้นใจค่ะ ประกาศเมื่อราว 1 ชม.ที่ผ่านมาค่ะ,"['เรียน', 'เรียน', 'หยุด', 'โรง', 'ประกาศ', 'ประกาศ', 'ระดับ', 'บริหาร', 'ชั้น', 'ชม']",,10,1
1,หมอ ผมว่าสิ่งที่ควรทำแบบง่ายสุดในตอนนี้ คือ รณรงค์ให้ประชาชนใส่หน้ากากป้องกันตัวเองผมว่า ผู้ใหญ่ ผู้มีอำนาจในบ้านเรากลัวเสียหน้าที่จะยอมรับความจริงที่เกิดขึ้น มากกว่าห่วงสุขภาพประชาชนอธิบดีกรมควบคุมมลพิษที่มีหน้าที่โดยตรงออกมาหลายหนบอกว่าไม่วิกฤต ซึ่งมันสวนทางกับตาเราเห็นภาพวิว มองแทบไม่เห็นตึกสูง กลับบอกไม่อันตราย บอกตรงๆโกหกได้หน้าด้านมาก อาจเพราะในระยะสั้น มันมีผลกับคนที่ sensitive เช่น แสบตา คันคอ ไอ ซึ่งเลยทำให้เขาโกหกต่อได้ว่า เห็นไหม คนเป็นล้านมีคนเป็นไม่กี่คนเอง แต่ระยะยาวล่ะ โรคทางเดินหายใจ มะเร็งปอด มันพิสูจน์ตอนนี้ไม่ได้ เขาก็บอกไม่วิกฤตๆๆๆ ซ้ำร้าย คนเป็นหมอบางคนกลับบอกว่า ใส่ N95 ก็ไม่ช่วยอะไร มันทำให้คนสับสนไปหมด คือ คนที่ไม่รู้จริง ก็ควรนั่งนิ่งๆ ไม่ใช่ทำตัวเป็นประเด็นเรียกไลท์กัน มันยิ่งไปทำให้คนสับสนส่วนตัวเคยทำงานก่อสร้าง ก่อนที่จะรู้จักคำว่า pm2.5 ด้วยซ้ำ ก็เกือบ 20 ปีกว่าแล้ว เพราะเคยไปโคงานกับ บ ปูนแห่งนึง เลยเจอว่าพนักงานบัญชีในแพลนท์ปูนต้องตัดปอดทิ้งคนละข้าง เกือบทั้งแผนก เลยกลัวเรื่องฝุ่นเล็กๆมาก เลยจับลูกใส่ หาซื้อหน้ากากตั้งแต่ยังไม่ขาดแคลน วันแรกๆ ลูกใส่ไป รร มีแต่คนขำ ลูกสาวก็มาบอก เราก็บอก ป๊าใส่ไปด้วยละกัน เลยใส่เดินไปด้วยกัน มาตอนนี้มีแต่คนมาถามขอลูกสาว ว่าหาซื้อที่ไหน แบ่งให้ได้ไหม เด็กค่อน รร หาหน้ากาก N95 ไม่ได้กันแล้ว ตรงนี้ รัฐก็น่าเป็นศูนย์กลาง ผ่อนผันภาษีหรือเร่งตัว Distributor ให้นำเข้าโดยเร็ว ก็ไม่ทำอะไร มาขอกำลังใจบ้าบอที่บ้านเน้นปลูกต้นไม้  หมอพูดเรื่องต้นไม้ เลยจะแนะนำว่า เราต้องเอาตัวให้รอดก่อน ด่าไอ้พวกมีหน้าที่รับผิดชอบแต่โกหกประชาชนก็ต้องด่าไป แต่เราต้องช่วยตัวเราด้วยคือ คนที่มีพื้นที่น้อย ลองหา เดหลี จั๋ง หมากเหลือง ลิ้นมังกร กวักมรกต พลูด่าง มาปลูกในบ้าน มันจะช่วยฟอกอากาศ สร้างออกซิเจน แต่ไม่ได้จับฝุ่นเป็นกำลังใจให้ทุกท่าน เราต้องรอดครับ ระหว่างฟาดฟันกับเหล่าไดโนเสาร์หน้าใหญ่หวงตำแหน่งแห่งประเทศนี้ เราก็ต้องดูแลตัวเรากันด้วยครับ,"['ทำ', 'คน', 'ทำ', 'คน', 'คน', 'คน', 'คน', 'คน', 'ทำ', 'คน', 'คน', 'ทำ', 'ทำ', 'คน', 'ทำ']",,2,1
2,เห็นด้วยที่สุดว่า ภาครัฐที่มีส่วนเกี่ยวข้องทำงานล่าช้า ไม่มีมาตรการทันที ไม่เห็นปลทั้งในระยะสั้นและระยะยาวค่ะ,"['ทำ', 'งาน', 'รัฐ', 'มาตรการ', 'ปล']",,6,-1
3,“ต้นไม้คือเพื่อนชีวิต เจ้าดูดอากาศพิษแทนข้า”Campaign รณรงค์การปลูกต้นไม้เมื่อหลายปีก่อน แล้วก็มีการปลูกต้นไม้ตรงกลางถนน ตรงริมฟุตบาท จากต้นเล็กๆ กลายเป็นต้นใหญ่ กรุงเทพเริ่มเป็นสีเขียวพอเวลาผ่านไป ต้นไม้ต้นเล็กกลายเป็นต้นใหญ่ก็เริ่มมีปัญหา กิ่งไปพันสายไฟ ประเทศอื่นแก้โดยย้ายสายไฟลงดิน ประเทศเราแก้โดยตัดต้นไม้ออกและอีกหลายสาเหตุ เช่นสร้างสะพาน ทำอุโมงค์ สร้างรถไฟฟ้า สาเหตุต่างๆทำให้ปริมาณต้นไม้ในกรุงเทพลดลงทุกทีขณะที่การก่อสร้างเพิ่ม รถยนต์เพิ่ม ควันพิษก็เพิ่ม แต่ต้นไม้ที่คอยช่วยดูดกลับลดลงน่าจะถึงเวลาที่ทางกทม.จะเอา campaign เดิมมาปัดฝุ่นใหม่ แล้วรณรงค์กันใหม่ได้แล้วอาจจะไม่ได้แก้ได้เร็ว แต่เป็นแนวทางระยะยาวส่วนตอนนี้คงต้องรณรงค์การใส่หน้ากาก สนับสนุนให้ประกาศภาวะภัยพิบัติ เพื่อให้เกิดการตื่นตัว โรงเรียนจะได้ปิด อย่ามัวแต่กลัวเสียหน้า กังวลว่าประชาชนจะตื่นกลัว เพราะหากไม่ตื่น อีกสักพักบางคนอาจจะไม่ได้ตื่นอีกเลย,"['ทำ', 'ทำ', 'คน', 'รถ', 'รถ', 'ฝุ่น', 'ตอน', 'หน้า', 'หน้า', 'ใส่', 'เรียน', 'อากาศ', 'ปัญหา', 'ต้น', 'ต้น']",,1,1
4,หงุดหงิดมากอะ รร ลูกอยู่ตรงปทุมวัน เขตนี้ควันนรกมากเลยอะ ต้องพยายามให้ใส่หน้ากาก ไม่รู้จะช่วยได้แค่ไหน ให้ใส่แบบกันเยอะๆ นางก็บ่น แต่นางก็ใส่แหละ,"['ลูก', 'หน้า', 'ใส่', 'ใส่', 'ใส่', 'รู้', 'กาก', 'รร', 'ควัน', 'เขต']",,2,1
5,ถูกต้องเลยครับรถเมล์ควรซื้อใหม่ยกทั้งระบบ อะไรที่ควรซื้อก็ควรทำนะครับ รถถัง เครื่องบิน เรือดำนำ ซื้อมาแสนแพง เอาออกมาใช้โชว์งานวันเด็ก...,"['ทำ', 'รถ', 'รถ', 'เด็ก', 'งาน', 'ซื้อ', 'ซื้อ', 'ซื้อ', 'เครื่อง', 'เมล์', 'ระบบ', 'ดำ', 'แสน', 'เรือ', 'แพง']",,7,-1
6,วันนี้เขตโรงเรียนลูก 249 รร.ไม่หยุด แม่หยุดเองเลยค่ะ,"['หยุด', 'หยุด', 'โรง', 'รร', 'แม่', 'เขต']",,4,1
7,การตัดแต่งต้นไม้ของ กทม. สักแต่ว่าตัดตัดจนมันเหี้ยนกุด ไม่เหลือสถาพของต้นไม้ประเทศไทยมีรุกขกรณ์ ที่มีความรู้ด้านการตัดแต่งต้นไม้ให้ได้ดีและสวยงามแค่ปรับปรุง ปรับเปรี่ยนการตัดแต่งต้นไม้ เราก็จะได้ประสิทธิภาพการกรองฝุ่นและมลพิษ กลับมามากมายแล้ว,"['ฝุ่น', 'ดี', 'รู้', 'ต้น', 'ต้น', 'ต้น', 'ต้น', 'ไม้', 'ไม้', 'ไม้', 'ไม้', 'สัก', 'ตัด', 'กทม', 'ตัด']",,1,1
8,>>ผลที่สะสมต่อไปอนาคตของชาติจะกลายเป็นผู้ป่วยที่ล้นระบบสาธารณสุขจนรับมือไม่ไหว >>การตื่นตัวจากภาครัฐน้อยมาก ทำให้คนไม่ตระหนักถึงอันตราย เด็กๆนั่งรถมอเตอร์ไซค์ไปโรงเรียนอย่างปกติ ผู้ปกครองคนที่ไม่ได้รับข่าวสารทางอินเตอร์เนตดูแต่ข่าวทางทีวีจะไม่รู้ว่าสถานการณ์ร้ายแรงและอันตรายต่อทุกคน >>>ความตื่นตัวมีน้อยมากๆ<<<,"['ทำ', 'คน', 'คน', 'คน', 'รถ', 'เด็ก', 'เรียน', 'รู้', 'ดู', 'รัฐ', 'โรง', 'ป่วย', 'ข่าว', 'นั่ง', 'ปกติ']",,9,1
9,รร ประถมชายชื่อดังบาง รร ตอนพักกลางวันก็ยังคงไม่ให้เด็กขึ้นตึกเรียนเลยค่ะ วิ่งเล่นไปมากลางแจ้งนี่ล่ะ ฝ่ายกิจกรรม นร บอกว่าเป็นช่วงครูพัก ถ้าต้องการให้เด็กขึ้นเรียนให้ไปคุยตกลงกับครูประจำชั้นเองค่ะ งงใจผู้บริหาร รร สุดๆค่ะ,"['เด็ก', 'เด็ก', 'ตอน', 'เรียน', 'เรียน', 'รร', 'รร', 'รร', 'กลาง', 'กลาง', 'แจ้ง', 'กิจกรรม', 'วิ่ง', 'ครู', 'ครู']",,10,1
