,comment,tokenized_comment,label,predicted_label,marks
0,จขกท. คุยเรื่องนี้กับแอดนะครับ เค้ารู้ว่าคนอ้วนหรือคนตัวใหญ่นั้นไม่ผิด แต่ถ้าจะโทษ เค้าโทษที่ระบบการจัดการการออกมาตราการขนส่งนะครับ มันเป็นหน้าที่การจัดการอย่างนึงนะครับ เรื่องจัดเตรียมที่นั่ง หรือการจ่ายตามอัตราพื้นที่ที่นั่ง.เราส่งพัสดุยังมีเรทราคาตามน้ำหนักเพราะอะไร นั่นแหละครับมันคือเรทราคาที่คิดตามพื้นที่ใช้สอยในการขนส่งแต่ละครั้ง.ถามว่าดูเป็นการเอาแต่ใจมั้ย?มาดูจริงๆก็ไม่นะ แค่เรียกร้องสิทธิ์ที่ควรได้ .คือไม่ได้ว่า จ่าย50.- แล้วต้องได้บริการ 500.- คือจ่าย50.- ก็ต้องการบริการ50.- นั่นแหละ .ทีนี้การนั่งแบบนี้ เค้าก็อึดอัด ทั่งที่ควรได้นั่งสบายเหมือนคนทั่วๆไปที่จ่าย50.- เช่นกัน .บางคนบอกทำไมไม่ไปนั่งแท๊กซี่บลาๆ มันก็แก้ได้นะแต่มันดูเป็นการแก้ที่ปลายเหตุ อีกทั้งยังดูเหมือนผลักภาระมาให้อีกทั้งที่มันไม่ใช่ความผิดเค้าเลย (คนตัวใหญ่หรืออ้วนก็ไม่ผิด)มันไม่ใช่แค่ จขกท. ที่อึดอัด คนตัวใหญ่หรือคนอ้วนเองก็อึดอัดเหมือนกัน เค้าก็อยากให้เกิดการเปลี่ยนแปลงนั่นแหละ วันนี้ยังไม่เปลี่ยน 5ปี10ปี ก็ไม่แน่อันนี้เข้าใจทุกฝ่ายนะ คนนึงก็อึดอัด อีกคนนึงก็รู้สึกไม่ดีถือว่าโพสต์นี้ทำให้ได้เห็นมุมมองหลายๆคนนะครับว่ามองแบบไหนกันบ้าง มีโพสต์ติดฮาบ้างช่วงท้าย ก็ถือว่าขำๆนะครับถ้าไม่เหมาะสมตำหนิติงแอดได้ครับ เพราะแอดเป็นคนอนุมัติโพสต์นี้,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน']",,2,1
1,ก็เคยอยากจะจ่ายค่ารถตู้50เพื่อเอา2เบาะนะ แต่คนขับไม่ยอมไงเวลาขึ้นรถเมล์หรือรถสองแถว นี่ก็ตัดปัญหาด้วยการยืนไปเลย ถ้าเป็นรถเมล์ก็จะรอนั่งเบาะเดี่ยวเท่านั้น เพราะเข้าใจว่าเวลานั่งเบาะคู่แล้วไปเบียดชาวบ้าน คนข้างๆก็คงจะแอบเหยียดในใจนั่นแหละ,"['คน', 'คน', 'นั่ง', 'นั่ง', 'รถ', 'รถ', 'รถ', 'รถ', 'เหยียด', 'เบียด']",,4,1
2,ผมไม่ได้เหยียดนะครับ แคบขนาดนั้นใครจะไปเหยียดได้ ไอ้น้องง นี่มึงกวนตีนหรอ 5555,"['เหยียด', 'เหยียด', 'ผม', 'ขนาด', 'แคบ', 'ไอ้', 'กวน']",,1,1
3,ถามว่าคุณได้อะไรจากการเหยียด.…See more,"['เหยียด', 'ถาม']",,1,1
4,ผมเนี้ยหุ่นยักษ์ หนัก 150 สูง185 อ้วนมาก ตัวใหญ่มากๆ เลี่ยงจะนั่ง รถสาธารณะ ที่จำกัดพื้นที่ เพื่อ กังวลว่าคนอื่นจะลำบาก ผมจะไม่เที่ยว ที่คนเยอะๆ เพราะกลัว คนจะรำคาญ ถึงผมจะดูแลตัวเอง เรื่องกลิ่น หรือ อะไร แต่คนที่มองคนอื่น แล้วรู้สึกแย่ก็มีอยู่ดี ผมขอโทษ นะครับ ที่เป็นภาระของสังคม ผมเข้าใจ,"['คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'อ้วน', 'รถ', 'ตัว', 'ตัว']",,2,1
5,เรื่องนี้บางครั้งก็พูดยากครับบางครั้ง เราถามหาสิทธิ์ของเรา แต่กลายเป็นเหยียดสภาพเขาอีกครั้นพอไม่พูด แม่งก็เบียดเบียนสิทธิ์กูอีกเจอแบบนี้ กู ขึ้น นั่งตักแม่งแฟร์ๆดี,"['นั่ง', 'เหยียด', 'เจอ', 'เรื่อง', 'ดี', 'ถาม', 'แม่ง', 'แม่ง', 'สิทธิ์', 'เบียดเบียน']",,5,-1
6,ยกตัวอย่างว่า รถตู้ละกันจากเหตุการนี้น่าจะรถตู้น่าแปลกที่คนตัวเล็กๆมักจะชอบรีบจับจองเบาะที่เบียดน้อยหรือเบาะสวรรค์ ไอเบาะเดี่ยวกลางลำประจำถ้าปล่อยให้พี่เค้านั่งเบาะเดี่ยว หรือเบาะแถวแรกจะลดปัญหานี้ได้พอควรเลยนะ,"['คน', 'นั่ง', 'รถ', 'รถ', 'ตัว', 'เบาะ', 'เบาะ', 'เบาะ', 'ตู้', 'ตู้']",,9,-1
7,อีกหนึ่งเหตุผลที่กุต้องไปออกกำลังกาย,['กุ'],,0,-1
8,เวลามีคนอ้วนโดนแซว แล้วคนอ้วนตอบว่า อ้วนแล้วไปหนักหัวคนอื่นเหรอ คือไม่หนักหัวแต่มันเบียดพื้นที่สาธารณะ อย่างรถเมล์รถไฟฟ้าเนี่ย นอกจากเบียดแล้วยังหายใจแรงใส่ กลิ่นเหม็นเปรี้ยวอีก,"['คน', 'คน', 'คน', 'อ้วน', 'อ้วน', 'อ้วน', 'รถ', 'รถ', 'เบียด', 'เบียด']",,6,1
9,ผมก็คนอ้วนคนนึงเหมือนกัน เวลานั่งจะพยายามทำตัวลีบๆถ้าต้องนั่งติดกับใคร แต่ก็นั่นแหละ แค่อ้วนก็ผิดแล้ว เพราะคุณค่าความเป็นคนมันต่ำในสายตาคนผอม,"['คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'อ้วน', 'อ้วน', 'ตัว', 'ผม']",,2,1
10,อันนี้ผมมองว่าเป็นสิทธิ์ของเขาที่จะตั้งคำถามนะ เพราะ เราเอาสภาพความเป็นจริงมาคุยกัน มันไม่ใช่การเหยียดเลย ผมไม่มองว่าเป็นงั้น คนตัวใหญ่นั่งกินที่ไปเบาะครึ่ง แต่อีกคนจ่ายเท่ากันนั่งได้แค่ครึ่งเบาะ ก็เท่ากับโดนเอาเปรียบเพราะเขาไม่ได้ในสิ่งที่เขาจ่ายไป และแน่นอน เขามีสิทธิ์เรียกร้องแล้วก็ตั้งคำถาม,"['คน', 'คน', 'นั่ง', 'นั่ง', 'ตัว', 'เหยียด', 'ผม', 'ผม', 'โดน', 'เบาะ']",,4,0
11,นี่แหละครับ เป็นสาเหตุที่ 1.ผมขึ้นรถไฟ ต่อให้มีที่นั่งว่างผมก็จะยืน เพราะผมนั่งครั้งนึงที่นั้นอาจจะนั่งได้แค่ 2 คน ทั้งๆมันควรจะเป็น 3 คน2. ตอนที่อยู่ กทม ผมจะหลีกเลี่ยงก้ขึ้นรถเมล์หรือรถตู้ครับ เพราะกลัวจะไปเบียดที่คนอื่นเขา ผมเลยต้องนั่งแท็กซี่ไปไหนมาไหนตลอดผมจะเป็นคนที่แทบจะหลีกเลี่ยงขนส่งสารธารณะทุกครั้ง ในการเดินทาง ไม่ใช่ว่า เหยียดคนที่ใช้บริการขนส่งสารธารณะ แต่จริงๆ แล้วผมก็กลัวคนอื่นคิดแบบนี้แหละครับ ขอโทษจริงๆ ที่เป็นภาระให้กับสังคมครับ,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง']",,2,1
12,สังคมควรอยู่ร่วมกันนะคุณไม่ได้เจอคนอ้วนไซต์บิ๊กนั่งข้างคุณทุกวันหรอก บางคนอาทิตย์นึงเจอที เดือนนึงเจอที ปีนึงเจอที หากคุณไม่พอใจก็ให้คิดว่าเจอเรื่องแย่ๆวันนึง ไม่มีหรอกชีวิตจะดีทุกวัน ไม่แน่คนอ้วนที่อยู่ข้างคุณอาจจะเป็นคนที่ช่วยเหลือคุณหรือคนที่รักก็เป็นเป็นได้เจ้าของกระทู้คงแค่อยากระบายอารม การที่มาตั้งถามเปิดประเด็นเรื่องเก็บค่าให้ใช้จ่าย 2 เท่านั้นโครตไม่ถูกต้อง เพราะจะมีคนเลียนแบบว่า กุไม่อยากให้ใครนั่งข้าง กุยอมจ่าย 2 เท่าแล้วห้ามให้ใครมานั่งข้างกุ จบ...นะ,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน']",,2,1
13,เหตุผลที่ขับรถไปไหนมาไหนเองโดยไม่พึ่งรถสาธารณะ กุก็อายเป็นนะโว้ย คือกุอ้วนอ่ะ เอออ้วนไงแต่ไม่ลด ละนั่งนี่คือพยายามไม่นั่งนะกุก็เกรงใจคนอื่นอ่ะ แบบเบียดเขา บางทียืนก็โดนมองอีกเหมือนเกะกะ จ่ายราคาเท่ากันมามองแบบนี้คนอ้วนเสียใจนะ นั่งวินก็รู้สึกได้เหมือนเกี่ยงกันรับคือเจอวินดีที่เข้าใจก็แต่น้อยมาก ถ้าเราอยู่ถูกที่อาจจะไม่โดนคืดกันแบบนี้ !!!,"['คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'อ้วน', 'รถ', 'รถ', 'เบียด']",,5,1
14,คนอ้วนต้องมีเพื่อนผอมๆแบบเรา นั่งที่นั่ง2ที่ =3/1 เค้านั่งที่ครึ่ง เรานั่งครึ่งที่ 555555,"['คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'เค้า', 'ผอม', 'ครึ่ง', 'ครึ่ง']",,4,1
