,comment,tokenized_comment,label,predicted_label,marks
0,โลตัสไฮเปอร์มาเก็ต​ ทุกสาขา​ ควรจ้างพนักงานเยอะกว่านี้​ ไม่ควรเรียกพนักงานแผนกอื่นไปลงเครื่องแคชเชียร์​บ่อยจนเกินไป​ ทุกคนต้องมีหน้าที่ที่ตัวเองต้องรับผิดชอบ​ พอช่วยแคชเชียร์เสร็จ​ งานแผนกตัวเองเละก็โดนด่า​ พอโดนด่าก็เกิดความเครียด​ หน้าบึ้งตึงใส่ลูกค้า​ ทำงานไม่มีความสุข​ บริการลูกค้าไม่ดี​ แล้วลูกค้าก็ร้องเรียน​ เพราะรักจึงอยากแนะนำ​ จากใจเด็กโลตัสเก่า​,"['พนักงาน', 'พนักงาน', 'สาขา', 'ลูกค้า', 'ลูกค้า', 'ลูกค้า', 'หน้า', 'ทำ', 'โลตัส', 'โลตัส', 'คน']",,3,1
1,บางครั้งพนักงานโลตัสเอ็กเพลส กับพนักงานโลตัสใหญ่ ก็ต่างกันครับ โลตัสใหญ่ เขาทำเป็นเเผนกๆไปครับ เเต่โลตัสเอ็กเพลสนั้น พนักงานเเต่ละคน ต้องทำทุกอย่างครับ ไม่ใช่เเค่ยืนขายของ อยากให้ทุกคนเข้าใจด้วยครับ บางคนเวลากินข้าวเเทบไม่มี ผมเชื่อว่าทุกคนก็เป็นพนักงานเงินเดือนเหมือนกัน ควรเข้าใจกันบ้างครับ พนักงานคนอื่นเป็นเเบบไหนผมไม่รู้ เเต่มันก็ยังมีพนักงานที่ตั้งใจทำงานครับ ขอให้ทุกคนเข้าใจครับ,"['พนักงาน', 'พนักงาน', 'พนักงาน', 'พนักงาน', 'พนักงาน', 'พนักงาน', 'ทำ', 'ทำ', 'ทำ', 'โลตัส', 'โลตัส']",,3,1
2,เลิกเปิดเพลง ข้าวแสนดี กับอีเครื่องกรองน้ำเพียว ได้แล้ว!!!!,"['ดี', 'เลิก', 'เครื่อง', 'น้ำ', 'ข้าว', 'อี']",,0,-1
3,คิว เปิดช่องเยอะๆหน่อยค่ะ คนไหนใช้ช่องทางด่วน ผิดกติกา จะยอมช่วยเห็นใจคนทำถูกกติกาด้วยจ้า,"['ทำ', 'คน', 'คน', 'ช่อง', 'คิว', 'ด่วน', 'เห็นใจ']",,4,1
4,ปรับปรุงพนักงานโลตัสเอ็กซ์เพลสสาขาตลาดนานาเจริญ ห่วยแตก ไม่เต็มใจทำก็ออกไปทำงานอย่างอื่น คนอื่นที่เข้าอยากทำงานจะได้เข้ามา ออกไป๊,"['พนักงาน', 'สาขา', 'ทำ', 'ทำ', 'ทำ', 'คน', 'งาน', 'งาน', 'ปรับปรุง', 'เต็มใจ', 'โลตัสเอ็กซ์']",,3,1
5,ถุงงง !!! ถุงมึงบอบบางมากกก ยิ่งเจอน้ำยาซักผ้า น้ำยาปรับผ้านุ่มนะ พร้อมขาดดด 😂,"['ถุง', 'ถุง', 'เจอ', 'น้ำ', 'งง', 'ผ้า', 'ผ้า', 'น้ำยา', 'กก', 'นุ่ม', 'ซัก']",,2,1
6,เราไม่เคยรับถุงเลย แถมได้แต้มกรีนพ้อยไว้ใช้เป็นส่วนลดได้ด้วย ลองดู เตรียมถุงหนาๆไปเองใช้ได้หลายครั้ง,"['ถุง', 'ถุง', 'ลด', 'แถม', 'ดู', 'หนา', 'ลอง']",,2,1
7,..เคยไปทำ เอ้กซ์เพรส เดือนเดียว พอเลย  พนักงานต่อ1ช่วงกะงานน้อยไป  3คน  บางวัน2 คน  คนเข้าวันนึงเกือบพัน ยิ่งช่วงเช้าเย็นเร่งด่วน วุ่นวายจัด รถส่งของถ้ามาไม่ตรงเวลาจะหนักกะถัดไปหัวหน้า1คนคุมหลายสาขาจัดการไม่ค่อยทั่วถึง สั่งงาน ส่งงานผ่านแชทไลน์ พนักงานก็เครียดไม่แพ้ลูกค้านะแล้วพนักงานไม่ได้เครียดที่ลูกค้าหรอก เครียดจากทำอย่างอื่นมากกว่า มันเยอะ ปรับอารมณ์ไม่ทัน555 ลูกค้าโปรดเข้าใจยืนขายให้ลูกค้าอะ สบายคลายเครียดที่สุดเเล้ว ..โลตัสงานหนักกว่า ของก็เยอะกว่าเซเว่นแน่นอน แต่พนักงานน้อยกว่าทำทุกอย่าง ...โหลดของลงรถเอง  เติมของเองขายเอง คิดเงินเอง ..เปลี่ยนป้ายราคาตามโปรโมชั่นที่มีมากกว่า 700กว่ารายการ เองคัดแยกของใกล้หมดอายุเพื่อลดราคาให้ขายหมดทุกวันเองเป็นภารโรงเองเป็นยามดูขโมยเองเป็นทุกอย่างให้เธอแล้ว 🎶🎼,"['พนักงาน', 'พนักงาน', 'พนักงาน', 'พนักงาน', 'สาขา', 'ลูกค้า', 'ลูกค้า', 'ลูกค้า', 'ลูกค้า', 'ทำ', 'ทำ']",,3,1
8,อย่าบังคับน้องเข้าประชุมเชียร์ อย่าลงโทษโดยเหตุผลงี่เง่าๆ เกิดก่อนไม่กี่ปีเอง,"['อย่า', 'อย่า', 'กี่', 'ปี', 'บังคับ', 'น้อง', 'เชียร์', 'งี่', 'เง่า']",,0,-1
9,โลตัสใหญ่ไม่มีอะไรนะ โลตัสเอกเพรสแม่งไม่ไหวจริงๆ เกลียดขี้หน้าพนักงาน,"['พนักงาน', 'โลตัส', 'โลตัส', 'แม่ง', 'เกลียด', 'เอกเพรส']",,5,1
10,ทุกคนล้วนแล้ว แต่มีหน้าที่ของเขา คนเราควรให้โอกาสซึ่งกันและกันนะครับให้คิดว่าคนดีก็มี คนไม่ดีก็มีนะครับ ผมไม่ได้โลกสวยนะครับ แต่ผมก็ทำงานในด้านบริการเหมือนกัน ถ้าไม่มายืนตรงจุดที่เขายืนคุณก็จะไม่รู้ คิดบวกนะครับ พนักงานเหมือนกันนะครับ ปรับปรุงตรงไหนแล้วดี ก็ควรที่ต้องปรับปรุงแก้ไขส่วนที่ผิดพลาดของตัวเรา ดีแล้วยังดีได้อีกนะครับ Mc.Tom,"['พนักงาน', 'ทำ', 'คน', 'คน', 'คน', 'คน', 'เหมือน', 'เหมือน', 'งาน', 'ดี', 'ดี']",,5,1
