,comment,tokenized_comment,label,predicted_label,marks
0,โลตัสไฮเปอร์มาเก็ต​ ทุกสาขา​ ควรจ้างพนักงานเยอะกว่านี้​ ไม่ควรเรียกพนักงานแผนกอื่นไปลงเครื่องแคชเชียร์​บ่อยจนเกินไป​ ทุกคนต้องมีหน้าที่ที่ตัวเองต้องรับผิดชอบ​ พอช่วยแคชเชียร์เสร็จ​ งานแผนกตัวเองเละก็โดนด่า​ พอโดนด่าก็เกิดความเครียด​ หน้าบึ้งตึงใส่ลูกค้า​ ทำงานไม่มีความสุข​ บริการลูกค้าไม่ดี​ แล้วลูกค้าก็ร้องเรียน​ เพราะรักจึงอยากแนะนำ​ จากใจเด็กโลตัสเก่า​,"['โลตัส', 'สาขา', 'จ้าง', 'พนักงาน', 'พนักงาน', 'แผนก', 'คน', 'หน้าที่', 'ตัว', 'รับผิดชอบ', 'แคชเชียร์', 'งาน', 'แผนก', 'ตัว', 'เละ', 'โดน', 'ด่า', 'โดน', 'ด่า', 'เครียด', 'หน้า', 'ใส่', 'ลูกค้า', 'ทำ', 'งาน', 'บริการ', 'ลูกค้า', 'ดี', 'ลูกค้า', 'รัก', 'แนะนำ', 'ใจ', 'เด็ก', 'โลตัส', 'เก่า']",,7,1
1,บางครั้งพนักงานโลตัสเอ็กเพลส กับพนักงานโลตัสใหญ่ ก็ต่างกันครับ โลตัสใหญ่ เขาทำเป็นเเผนกๆไปครับ เเต่โลตัสเอ็กเพลสนั้น พนักงานเเต่ละคน ต้องทำทุกอย่างครับ ไม่ใช่เเค่ยืนขายของ อยากให้ทุกคนเข้าใจด้วยครับ บางคนเวลากินข้าวเเทบไม่มี ผมเชื่อว่าทุกคนก็เป็นพนักงานเงินเดือนเหมือนกัน ควรเข้าใจกันบ้างครับ พนักงานคนอื่นเป็นเเบบไหนผมไม่รู้ เเต่มันก็ยังมีพนักงานที่ตั้งใจทำงานครับ ขอให้ทุกคนเข้าใจครับ,"['พนักงาน', 'พนักงาน', 'โลตัส', 'โลตัส', 'ทำ', 'เอ็กเพลส', 'พนักงาน', 'คน', 'ทำ', 'ขาย', 'คน', 'คน', 'เวลา', 'กิน', 'ข้าว', 'ผม', 'คน', 'พนักงาน', 'เหมือน', 'พนักงาน', 'คน', 'ผม', 'รู้', 'พนักงาน', 'ตั้งใจ', 'ทำ', 'งาน', 'คน']",,5,1
2,เลิกเปิดเพลง ข้าวแสนดี กับอีเครื่องกรองน้ำเพียว ได้แล้ว!!!!,"['เลิก', 'ข้าว', 'ดี', 'อี', 'เครื่อง', 'น้ำ']",,0,-1
3,คิว เปิดช่องเยอะๆหน่อยค่ะ คนไหนใช้ช่องทางด่วน ผิดกติกา จะยอมช่วยเห็นใจคนทำถูกกติกาด้วยจ้า,"['คิว', 'ช่อง', 'คน', 'ด่วน', 'เห็นใจ', 'คน', 'ทำ']",,2,1
4,ปรับปรุงพนักงานโลตัสเอ็กซ์เพลสสาขาตลาดนานาเจริญ ห่วยแตก ไม่เต็มใจทำก็ออกไปทำงานอย่างอื่น คนอื่นที่เข้าอยากทำงานจะได้เข้ามา ออกไป๊,"['ปรับปรุง', 'พนักงาน', 'โลตัสเอ็กซ์', 'เพลส', 'สาขา', 'เต็มใจ', 'ทำ', 'ทำ', 'งาน', 'คน', 'ทำ', 'งาน']",,5,1
5,ถุงงง !!! ถุงมึงบอบบางมากกก ยิ่งเจอน้ำยาซักผ้า น้ำยาปรับผ้านุ่มนะ พร้อมขาดดด 😂,"['ถุง', 'งง', 'ถุง', 'กก', 'เจอ', 'น้ำยา', 'ซัก', 'ผ้า', 'น้ำ', 'ยา', 'ผ้า', 'นุ่ม']",,10,-1
6,เราไม่เคยรับถุงเลย แถมได้แต้มกรีนพ้อยไว้ใช้เป็นส่วนลดได้ด้วย ลองดู เตรียมถุงหนาๆไปเองใช้ได้หลายครั้ง,"['ถุง', 'แถม', 'ลด', 'ลอง', 'ดู', 'ถุง', 'หนา']",,8,1
7,..เคยไปทำ เอ้กซ์เพรส เดือนเดียว พอเลย  พนักงานต่อ1ช่วงกะงานน้อยไป  3คน  บางวัน2 คน  คนเข้าวันนึงเกือบพัน ยิ่งช่วงเช้าเย็นเร่งด่วน วุ่นวายจัด รถส่งของถ้ามาไม่ตรงเวลาจะหนักกะถัดไปหัวหน้า1คนคุมหลายสาขาจัดการไม่ค่อยทั่วถึง สั่งงาน ส่งงานผ่านแชทไลน์ พนักงานก็เครียดไม่แพ้ลูกค้านะแล้วพนักงานไม่ได้เครียดที่ลูกค้าหรอก เครียดจากทำอย่างอื่นมากกว่า มันเยอะ ปรับอารมณ์ไม่ทัน555 ลูกค้าโปรดเข้าใจยืนขายให้ลูกค้าอะ สบายคลายเครียดที่สุดเเล้ว ..โลตัสงานหนักกว่า ของก็เยอะกว่าเซเว่นแน่นอน แต่พนักงานน้อยกว่าทำทุกอย่าง ...โหลดของลงรถเอง  เติมของเองขายเอง คิดเงินเอง ..เปลี่ยนป้ายราคาตามโปรโมชั่นที่มีมากกว่า 700กว่ารายการ เองคัดแยกของใกล้หมดอายุเพื่อลดราคาให้ขายหมดทุกวันเองเป็นภารโรงเองเป็นยามดูขโมยเองเป็นทุกอย่างให้เธอแล้ว 🎶🎼,"['ทำ', 'เดือน', 'พนักงาน', 'คน', 'คน', 'คน', 'นึง', 'พัน', 'เช้า', 'เย็น', 'รถ', 'เวลา', 'หนัก', 'กะ', 'หัวหน้า', 'คน', 'สาขา', 'งาน', 'งาน', 'พนักงาน', 'เครียด', 'ลูกค้า', 'พนักงาน', 'เครียด', 'ลูกค้า', 'หรอก', 'เครียด', 'ทำ', 'อารมณ์', 'ลูกค้า', 'ยืน', 'ขาย', 'ลูกค้า', 'อะ', 'เครียด', 'เเล้ว', 'โลตัส', 'งาน', 'หนัก', 'เซเว่น', 'พนักงาน', 'ทำ', 'รถ', 'เติม', 'ขาย', 'เงิน', 'ป้าย', 'ราคา', 'โปรโมชั่น', 'แยก', 'อายุ', 'ลด', 'ราคา', 'ขาย', 'ยาม', 'ดู', 'ขโมย']",,7,1
8,อย่าบังคับน้องเข้าประชุมเชียร์ อย่าลงโทษโดยเหตุผลงี่เง่าๆ เกิดก่อนไม่กี่ปีเอง,"['อย่า', 'บังคับ', 'น้อง', 'เชียร์', 'อย่า', 'งี่', 'เง่า', 'กี่', 'ปี']",,0,-1
9,โลตัสใหญ่ไม่มีอะไรนะ โลตัสเอกเพรสแม่งไม่ไหวจริงๆ เกลียดขี้หน้าพนักงาน,"['โลตัส', 'โลตัส', 'เอกเพรส', 'แม่ง', 'เกลียด', 'พนักงาน']",,9,1
